,comment,label,tokenized
366,"bad. berikut adalah bbrp kendala saya 1. suka check out sendiri. baru check in, check out sendiri 2. mau check in tp gagal krn titik lokasi tdk di lokasi, pdhl lokasinya sudah diupdate tolong diperbaiki ya",,bad berikut adalah bbrp kendala saya suka check out sendiri baru check in check out sendiri mau check in tp gagal krn titik lokasi tdk di lokasi padahal lokasinya sudah diupdate tolong diperbaiki ya
367,"eh tolong dong hasil downloadan sertifikat vaksin ke direct kemanannya ya dikasih tau, masa harus nyari sendiri ngecekin satu2 folder?",,eh tolong dong hasil downloadan sertifikat vaksin ke direct kemanannya ya dikasih tau masa harus nyari sendiri ngecekin folder
368,sering error. running app bikin data boros. permission nya bikin data bocor.,,sering error running app bikin data boros permission nya bikin data bocor
369,not working,,not working
370,"kontak email tidak berfungsi, sertifikat vaksin saya hanya 1 yang terdata, saya sudah selesai vaksin kedua sebulan yang lalu.",,kontak email tidak berfungsi sertifikat vaksin saya hanya yang terdata saya sudah selesai vaksin kedua sebulan yang lalu
371,"logout paksa setelah gagal scan qr dengan pesan sesi habis. ketika mau login lagi tidak bisa, mentok di layar persetujuan pengguna (user agreement) sudah dicentang setuju tp tdk ada perubahan apa-apa, tombol next atau pindah ke laman selanjutnya juga tidak ada. kalau app emg masih belum stabil gak usah bilang ""pastikan sudah update yang terbaru"", saya sudah update yg terbaru! benerin bug-nya gak usah banyak cingcong! wajib make tp g bener.",,logout paksa setelah gagal scan qr dengan pesan sesi habis ketika mau login lagi tidak bisa mentok di layar persetujuan pengguna user agreement sudah dicentang setuju tp tdk ada perubahan tombol next atau pindah ke laman selanjutnya juga tidak ada kalau app emg masih belum stabil tidak usah bilang pastikan sudah update yang terbaru saya sudah update yg terbaru benerin tidak usah banyak cingcong wajib make tp tidak bener
372,"setelah update aplikasi, saya malah tidak bisa akses aplikasi sama sekali dan dianggap belum terdaftar dengan keterangan ""terjadi kesalahan, silakan coba lagi"". bagaimana solusinya? update 1 nov 2021 06:53 wib: saya sudah coba daftar ulang, tapi gagal. mohon perbaiki segera karena sangat menganggu keseharian saya. update 1 nov 2021 07:29 wib aplikasi sudah bisa digunakan dengan baik. terima kasih.",,setelah update aplikasi saya malah tidak bisa akses aplikasi sama sekali dan dianggap belum terdaftar dengan keterangan terjadi kesalahan silakan coba lagi bagaimana solusinya update nov wib saya sudah coba daftar ulang tapi gagal mohon perbaiki segera karena sangat menganggu keseharian saya update nov wib aplikasi sudah bisa digunakan dengan baik terimakasih kasih
373,"notifikasi tiba-tiba hilang udah berulang kali restart tetep ga muncul, mau check in ga bisa bilang tidak dalam radius padahal posisi berdiri dan barcodenya masi deketan. dulu masih bisa scan tiba-tiba ga bisa scan barcode. hmmm",,notifikasi hilang udah berulang kali restart tetep tidak muncul mau check in tidak bisa bilang tidak dalam radius padahal posisi berdiri dan barcodenya masi deketan dulu masih bisa scan tidak bisa scan barcode hmmm
374,lebih sering error nya dari pada berfungsinya.,,lebih sering error nya dari pada berfungsinya
375,"payah bgt ini aplikasi. setiap dipake scan location pasti gak mau terus padahal sinyal bagus dan location hp udh bener, jadi mesti ulang beberapa kali. buang2 waktu saya setiap pagi kalo mau check in di kantor. sejak diperbarui jadi gak jelas ini aplikasi",,payah bgt ini aplikasi setiap dipake scan location pasti tidak mau terus padahal sinyal bagus dan location hp udh bener jadi mesti ulang beberapa kali waktu saya setiap pagi kalo mau check in di kantor sejak diperbarui jadi tidak jelas ini aplikasi
376,stopped fortunetly,,stopped fortunetly
377,"tolong ditingkatkan lagi itu kemampuan scan qr code-nya, rasanya setengah mati mau scan kode; tertulis ""melebih radius"" hampir tiap hari saya mau check-in via qr.",,tolong ditingkatkan lagi itu kemampuan scan qr rasanya setengah mati mau scan kode tertulis melebih radius hampir tiap hari saya mau via qr
378,"tb"" logout sndri. aplikasi babi",,tb logout sndri aplikasi babi
379,"baru download saat ingin mendaftar malah tidak bisa, selalu muncul ""terjadi kesalahan coba lagi"" . setelah dicoba tetap tdk bisa . jadi harus gimanaaa?",,baru download saat ingin mendaftar malah tidak bisa selalu muncul terjadi kesalahan coba lagi setelah dicoba tetap tdk bisa jadi harus gimanaaa
380,"aplikasi sering tidak bisa digunakan untuk scan barcode. padahal kuota ada, tapi tidak bisa check in. cek bukti vaksin malah diminta isi nik lagi. padahal sebelumnya data sudah terisi lengkap. ketika mengisi ulang lagi malah ada notif terjadi kesalahan. padahal data nik yg di masukkan sudah lengkap.",,aplikasi sering tidak bisa digunakan untuk scan barcode padahal kuota ada tapi tidak bisa check in cek bukti vaksin malah diminta isi nik lagi padahal sebelumnya data sudah terisi lengkap ketika mengisi ulang lagi malah ada notif terjadi kesalahan padahal data nik yg di masukkan sudah lengkap
381,udah punya akun tapi selalu setiap masuk diminta login dan sudah pakai email yg terdaftar tidak bisa login,,udah punya akun tapi selalu setiap masuk diminta login dan sudah pakai email yg terdaftar tidak bisa login
382,"can't even login to this app. keep saying ""terjadi kesalahan, silahkan coba lagi"".",,ca even login to this app keep saying terjadi kesalahan silahkan coba lagi
383,"so many error so wasting time when i'm trying to enter my company and scan barcode, it's always get notification that i'm out of radius, actualy i already on that palace and correct position at google map why ? and now i can't open this aplication, so i uninstal it, and reinstal on my phone, but i can't get email verification on my email so many trying and fail come on, make it right gov..",,so many error so wasting time when i trying to enter my company and scan barcode it always get notification that i out of radius actualy i already on that palace and correct position at google map why and now i ca open this aplication so i uninstal it and reinstal on my phone but i ca get email verification on my email so many trying and fail come on make it right
384,the load of this application is to slow,,the load of this application is to slow
385,can not log in when change device,,can not log in when change device
386,aplikasi bagus sih. tp kenapa ya masih suka error,,aplikasi bagus sih tp kenapa ya masih suka error
387,apps buruk sebaiknya di hapus aja dari google cuma habis2in waktu orang apps gagal. apps loading forever...buat org emosi,,apps buruk sebaiknya di hapus aja dari google cuma waktu orang apps gagal apps loading forever buat org emosi
388,cannot register... when i try to register an error message in indonesian language appears... as a foreigner trying to fly to indonesia i have to use this awful app. well done indonesians... good job as allways...,,can not register when i try to register an error message in indonesian language appears as a foreigner trying to fly to indonesia i have to use this awful app well done indonesians good job as allways
389,"can't regist, useless app. the app say i hv been requested the otp 3 times but the fact i don't even go to the otp page lol",,ca regist useless app the app say i hv been requested the otp times but the fact i do even go to the otp page lol
390,aplikasi suka ga bisa diakses pada saat crowded.. servernya diupgrade sana!,,aplikasi suka tidak bisa diakses pada saat servernya diupgrade sana
391,kenapa setelah di-update malah gak bisa dipake 👎🏻,,kenapa setelah malah tidak bisa dipake
392,setelah update malah gak bisa dipakai. dev.nya asal launching update tapi gak test dulu kali ya?,,setelah update malah tidak bisa dipakai asal launching update tapi tidak test dulu kali ya
393,tiba2 ke log out dan waktu log in ulang malah tidak terdaftar.,,ke log out dan waktu log in ulang malah tidak terdaftar
394,"halo kemenkes, sy ada ide, misal apps ini dibuat kompetisi jalan sehat berhadiah seindonesia yg bisa tracking langkah dan jumlah dan jarak.. biar pada sehat semua juga imun naik, thx ya,.",,halo kemenkes sy ada ide misal apps ini dibuat kompetisi jalan sehat berhadiah seindonesia yg bisa tracking langkah dan jumlah dan biar pada sehat semua juga imun naik terimakasih ya
395,"idiot application, so many bugs, made me can't use it well",,idiot application so many bugs made me ca use it well
396,aplikasi cuma muter² ga bisa masuk ke menu. setelah itu keluar sendiri. harap diperbaiki,,aplikasi cuma tidak bisa masuk ke menu setelah itu keluar sendiri harap diperbaiki
397,sering error bgst !!,,sering error bgst
398,"aplikasi gak ada perubahan, update bukannya bener malah error mulu",,aplikasi tidak ada perubahan update bukannya bener malah error mulu
399,"gile lu ndro, masa kaga mau nge scan ini apps sekarang. buang buang waktu gw ajh depan gate. udh di restart hp kaga mempan",,gile lu ndro masa kaga mau nge scan ini apps sekarang buang buang waktu gw ajh depan gate udh di restart hp kaga mempan
400,"setelah update terakhir jadi lol, lemot, masih lebih baik yang lama. mohon segera diperbaiki",,setelah update terakhir jadi lol lemot masih lebih baik yang lama mohon segera diperbaiki
401,aplikasi sering error,,aplikasi sering error
402,"kalau mau diimplementasi ke transjakarta, mohon di relook lagi ya kinerja app nya bs cepat atau ga. sering banget harus ketinggalan busway demi check in dlu ke tj, checkin juga gagal terus karna app lama dan qr nya jg gabisa ke scan",,kalau mau diimplementasi ke transjakarta mohon di relook lagi ya kinerja app nya bs cepat atau sering banget harus ketinggalan busway demi check in dlu ke tj checkin juga gagal terus karna app lama dan qr nya jg tidakbisa ke scan
403,nyusahin.,,susah
404,"setelah diupdate, malah lama connect ke servernya",,setelah diupdate malah lama connect ke servernya
405,"informasi yg saya input kenapa bisa berubah ya? app ini sangat amat tidak bisa diandalkan. pertama: sudah jelas verifikasi nama dan nik keluar perempuan eh di summary jadi laki-laki. ga hanya itu, opsi airplane dan detailnya sudah diisi lengkap berkali2 jadi car dan jam penerbangan jg berubah terus. saya coba 30menit edit, ga bisa2. wtf. gmn mau bener ini tracking covid kalau aplikasi yg dipakai aja ga siap???!!! kebanyakan dikorupsi anggarannya jadi aplikasi sampah aja",,informasi yg saya input kenapa bisa berubah ya app ini sangat amat tidak bisa diandalkan pertama sudah jelas verifikasi nama dan nik keluar perempuan eh di summary jadi tidak hanya itu opsi airplane dan detailnya sudah diisi lengkap jadi car dan jam penerbangan jg berubah terus saya coba edit tidak wtf gmn mau bener ini tracking covid kalau aplikasi yg dipakai aja tidak siap kebanyakan dikorupsi anggarannya jadi aplikasi sampah aja
406,"broken, whoever program this app update should be re-think their poor life choices.",,broken whoever program this app update should be their poor life choices
407,"nama lengkap selalu dibilang tidak valid, lokasi harus selalu menyala, tidak ada opsi untuk langsung mengajukan data atau informasi bahwa saya sudah divaksin versi terbaru opsi untuk cek zonasi dihilangkan, mempersulit check in karena ""di luar radius""",,nama lengkap selalu dibilang tidak valid lokasi harus selalu menyala tidak ada opsi untuk langsung mengajukan data atau informasi bahwa saya sudah divaksin versi terbaru opsi untuk cek zonasi dihilangkan mempersulit check in karena di luar radius
408,"butuh waktu yang cukup untuk koneksi hasil pcr,",,butuh waktu yang cukup untuk koneksi hasil pcr
409,"problem fixed after reinstalling the app and log in again (after the latest update, i can't get my e-hac right. it changes to travel by car when i type travel by airplane in the form). do not expect any support from developer, just do this if you have the same problem",,problem fixed after reinstalling the app and log in again after the latest update i ca get my right it changes to travel by car when i type travel by airplane in the form do not expect any support from developer just do this if you have the same problem
410,tolong kembalikan fitur log out tanpa scan barcode segera,,tolong kembalikan fitur log out tanpa scan barcode segera
411,"tolong developernya jitak, data masyarakat yang udah vaksin dulu sertifikatnya kemana sekarang? kok ga ada? ilang apa gimana?",,tolong developernya jitak data masyarakat yang udah vaksin dulu sertifikatnya kemana sekarang kok tidak ada ilang apa gimana
412,"sudah instal, mau daftar cek list syarat dan ketentuan, stlh itu ngeblang, tidak ada respon",,sudah instal mau daftar cek list syarat dan ketentuan stlh itu ngeblang tidak ada respon
413,"why can't i fill the birthday date colloum ? i've tried many times but it didn't work ! i've unistall and install it again, but it still didn't work !! do you have any solution for it ? it makes me annoying and frustating !!!!!!!!!!!!!!!",,why ca i fill the birthday date colloum i tried many times but it did work i unistall and install it again but it still did work do you have any solution for it it makes me annoying and frustating
414,"government/authorities should be the ones who ""scan"" our health status before enter the building, not the other way around. (?)",,should be the ones who scan our health status before enter the building not the other way around
415,"aplikasi sampah, banyak bug",,aplikasi sampah banyak bug
416,good job for live,,good job for live
417,update pada hp infinix saya tidak mengubah apapun. tolong di periksa lagi. thank you,,update pada hp infinix saya tidak mengubah apapun tolong di periksa lagi thank you
418,"data vaksinasi saya belum idak terupdate. saat saya masukkan nik saya,dan nama malah dibilang tidak terdftar. semnatraa saya sudha punya sertifikat vaksin dari rs y saya lakukan vaksin. kenapa di aplikasi malah munculnya nama org lain. tlong diperbaiki lah sistemnya. harusnya ambil dari dukcapil, datanya dan jgn di salah gunakan dong. saya sudah hubungi 119 dan email ke sertifikat peduli lindungi. tapi tidak ada respon. nomer ekstension selalu sibuk, jam berapa pun di telpon tetap tidak ada.",,data vaksinasi saya belum idak terupdate saat saya masukkan nik saya dan nama malah dibilang tidak terdftar semnatraa saya sudha punya sertifikat vaksin dari rs y saya lakukan vaksin kenapa di aplikasi malah munculnya nama org lain tolong diperbaiki lah sistemnya harusnya ambil dari dukcapil datanya dan jangan di salah gunakan dong saya sudah hubungi dan email ke sertifikat peduli lindungi tapi tidak ada respon nomer ekstension selalu sibuk jam berapa pun di telpon tetap tidak ada
419,aplikasinya sudah bagus. mungkin bisa ditambahkan dark mode agar lebih nyaman di mata. terima kasih atas kerja kerasnya. salam.,,aplikasinya sudah bagus mungkin bisa ditambahkan dark mode agar lebih nyaman di mata terimakasih kasih atas kerja kerasnya salam
420,repot,,repot
421,sorry to say gunanya aplikasi ini tuh apa sih ... udah gak uptodate ngisi tanggal lair aja mustii mundurr jauhhh gimana sih kok gak canggih ..rugii rugiii,,sorry to say gunanya aplikasi ini tuh apa sih udah tidak uptodate ngisi tanggal lair aja mustii mundurr jauhhh gimana sih kok tidak canggih rugiii
422,malfunction aka error,,malfunction aka error
423,"bagus, simple, mudah digunakan",,bagus simple mudah digunakan
424,kagak bisa dipakai sama sekali..alasannya lokasi dari lokasi buatan.. uninstal..instal...sama aja..,,kagak bisa dipakai sama lokasi dari lokasi sama
425,problem loading,,problem loading
426,"overall great, some issue can't scroll on little screen when first time after chose language, ex. in samsung j series",,overall great some issue ca scroll on little screen when first time after chose language ex in samsung j series
427,"setelah update, e-sertifikat vaksin hilang semua. hasil kerja asn sampah. tidak kompeten",,setelah update vaksin hilang semua hasil kerja asn sampah tidak kompeten
428,data bertentangan satu sama lain,,data bertentangan satu sama lain
429,"worst apps ever made every time i tried to check in,it's always shows scan qr code away from the radius (gps already activate beforehand) better fix this simple problem asap..",,worst apps ever made every time i tried to check in it always shows scan qr code away from the radius gps already activate beforehand better fix this simple problem
430,"status saya di aplikasi ini selalu merah, padahal sudah vaksin 2 kali, tidak ada kontak erat (serumah semua hijau), juga tidak pernah kena covid. tidak ada kontak yg bisa dihubungi untuk menyelesaikan maaalah ini. akibatnya saya selalu ditolak masuk ke fasilitas publik. benar-benar merugikan, pengembang tidak memberikan informasi yang jelas ttg bagaimana cara mendapatkan bantuan untuk hal ini. sudah mengirimkan email juga tidak ada tanggapan. mengesalkan.",,status saya di aplikasi ini selalu merah padahal sudah vaksin kali tidak ada kontak erat serumah semua hijau juga tidak pernah kena covid tidak ada kontak yg bisa dihubungi untuk menyelesaikan maaalah ini akibatnya saya selalu ditolak masuk ke fasilitas publik merugikan pengembang tidak memberikan informasi yang jelas ttg bagaimana cara mendapatkan bantuan untuk hal ini sudah mengirimkan email juga tidak ada tanggapan mengesalkan
431,ini urgen kenapa aplikasi ini tidak sepenuhnya full layar jadi pas mau daftar tidak bisa login karena sebagian layar yang harus dipencet tidak ada... masa gitu atuh neng,,ini urgen kenapa aplikasi ini tidak sepenuhnya full layar jadi pas mau daftar tidak bisa login karena sebagian layar yang harus dipencet tidak ada masa gitu atuh neng
432,bapuk,,bapuk
433,aplikasi asw,,aplikasi asw
434,"tidak bisa lihat sertifikat vaksin, selalu disuruh masukkan nik sama nama berulang-ulang",,tidak bisa lihat sertifikat vaksin selalu disuruh masukkan nik sama nama
435,good job,,good job
436,"this app isn't usable as a tourist or anyone who doesn't have an indonesian id - neither covid vaccines you have from abroad nor covid tests can be logged in the app, rendering it completely useless. this wouldn't be so much of a problem, but most places like airports or restaurants require this app to be used or otherwise impose a lot of hassle. at least they have started supporting english with the latest update.",,this app is usable as a tourist or anyone who does have an indonesian id neither covid vaccines you have from abroad nor covid tests can be logged in the app rendering it completely useless this would be so much of a problem but most places like airports or restaurants require this app to be used or otherwise impose a lot of hassle at least they have started supporting english with the latest update
437,wew tidak bisa di pakai di hp root-ed,,wew tidak bisa di pakai di hp
438,mudah,,mudah
439,ga bisa log in,,tidak bisa log in
440,force close kalau check out saat gps mati,,force close kalau check out saat gps mati
441,"i cannot login again after logout from the application. after ticking a small box by acknowledging the terms of use and privacy policy, i cannot scroll down to get the button of ""i agree"" in order to continue to the next display. the problem is not from the phone but from your application. i suggest you to repair it as soon as possible since the application is using regularly.",,i can not login again after logout from the application after ticking a small box by acknowledging the terms of use and privacy policy i can not scroll down to get the button of i setuju in order to continue to the next display the problem is not from the phone but from your application i suggest you to repair it as soon as possible since the application is using regularly
442,good,,good
443,very slow response...,,very slow response
444,"tidak bisa check in bilangnya diluar area, padahal gps sudah d nyalakan dan sudah coba beberapa tmpt, mohon diperbaiki. versi lama padahal tidak masalah.",,tidak bisa check in bilangnya diluar area padahal gps sudah d nyalakan dan sudah coba beberapa tmpt mohon diperbaiki versi lama padahal tidak masalah
445,sertifikat vaksinnya mana ?,,sertifikat vaksinnya mana
446,good,,good
447,sertifikat tidak ada,,sertifikat tidak ada
448,to many error,,to many error
449,"good job, better after updates.",,good job better after updates
450,"after update, there is no submit button agree as indonesian citizen.",,after update there is no submit button setuju as indonesian citizen
451,"sertif vaksin ga keluar2 gambarnya, sekarang sudah mau november, padahal sudah vaksin dari mei",,sertif vaksin tidak gambarnya sekarang sudah mau november padahal sudah vaksin dari mei
452,"relatif bermanfaat. izin mengusulkan agar aplikasi ini lebih bisa dimanfaatkan, bagaimana apabila diintegrasikan dengan pmi berkaitan info dan catatan donor darah pendonor agar recording donor darah oleh pendonor bisa melalui digital juga. terimakasih",,relatif bermanfaat izin mengusulkan agar aplikasi ini lebih bisa dimanfaatkan bagaimana apabila diintegrasikan dengan pmi berkaitan info dan catatan donor darah pendonor agar recording donor darah oleh pendonor bisa melalui digital juga terimakasih
453,"tombol ""saya setuju"" tidak terlihat di hape asus zenfone 2 laser, layar 16:9, jadinya tidak bisa diklik saya setuju buat masuk aplikasi. sungguh buruk untuk sebuah aplikasi yang dibuat dari uang rakyat. silahkan diperbaiki atau dimaksimalkan. gak semua orang sama punya hape layar selebar jidat.",,tombol saya setuju tidak terlihat di hape asus zenfone laser layar jadinya tidak bisa diklik saya setuju buat masuk aplikasi sungguh buruk untuk sebuah aplikasi yang dibuat dari uang rakyat silahkan diperbaiki atau dimaksimalkan tidak semua orang sama punya hape layar selebar jidat
454,user not found,,user not found
455,design app nya bagusan tg dulu.. yg sekarang payah.. ko kemunduran?,,design app nya bagusan tg yg sekarang ko kemunduran
456,bad app no support,,bad app no support
457,"tombol ""setuju"" terpotong sehingga tidak bisa di klik dan tidak bisa login. padahal versi aplikasi sudah terbaru dan software hp juga sudah versi terbaru.",,tombol setuju terpotong sehingga tidak bisa di klik dan tidak bisa login padahal versi aplikasi sudah terbaru dan software hp juga sudah versi terbaru
458,ini saya stuck di term and condition. yg versi kemarin jauh lbh baik.,,ini saya stuck di term and condition yg versi kemarin jauh lbh baik
459,halh tai lah,,halh tai lah
460,"tempo hari sertifikat caksin sudah ada dua2nya, sekarang dicek lagi malah hilang. dan harus terus masukkan nik melulu tiap cek. tolong diperbaiki donk bugnya. menyusahkan",,tempo hari sertifikat caksin sudah ada sekarang dicek lagi malah hilang dan harus terus masukkan nik melulu tiap cek tolong diperbaiki donk bugnya menyusahkan
461,jelek,,jelek
462,ok,,ok
463,"otp lama banget.login pakai no hp gagal terus.login pakai email,otp ditunggu jg gak ada email yg masuk.apa tidak ada teknisi yg bisa perbaiki?tidak ada pegawai yg bisa perbaiki,terus buat apa bikin aplikasi?",,otp lama pakai no hp gagal pakai email otp ditunggu jg tidak ada email yg tidak ada teknisi yg bisa perbaiki tidak ada pegawai yg bisa perbaiki terus buat apa bikin aplikasi
464,aplikasi lama customer service parah. setiap ada masalah jawabnya kami tidak tahu silahkan ke faskes silahkan tanya klinik. klinik dan faskes pun biasanya ga ada masalah selalu letakny di peduli lindungi. ga pernah terima input dan beri solusi. kalau bisa kasih dbwh bintang satu akan sy beri bintan - 10,,aplikasi lama customer service parah setiap ada masalah jawabnya kami tidak tahu silahkan ke faskes silahkan tanya klinik klinik dan faskes pun biasanya tidak ada masalah selalu letakny di peduli lindungi tidak pernah terimakasih input dan beri solusi kalau bisa kasih dbwh bintang satu akan sy beri bintan
465,problematic app and most useless customer service,,problematic app and most useless customer service
466,"i dont understand how it's possible to fail that but once i downloaded the application. i cannot really go any further. it ask me to pick foreign or local but after that, i can only select to accept terms. cannot scroll, continue, go into the app to register or else.. indonesia force to use this application but the application isn't working so what...",,i dont understand how it possible to fail that but once i downloaded the application i can not really go any further it ask me to pick foreign or local but after that i can only select to accept terms can not scroll continue go into the app to register or indonesia force to use this application but the application is working so what
467,"check in failed everytime. everything about gps. i've turn on and off the gps thousands times, not working. need tons of improvements. sorry.",,check in failed everytime everything about gps i turn on and off the gps thousands times not working need tons of improvements sorry
468,abis pencet agree ke privacy policy trus ga bisa diapa2in...tolong perbaiki..bikin susah orang mau ngapa2in..menyebalkan sekali,,abis pencet setuju ke privacy policy trus tidak bisa tolong susah orang mau sekali
469,"tolong ketika ada kasus salah input hasil tes antigen/pcr, bila sudah diperbaiki oleh lab/rs mohon statusnya langsung berubah menjadi hijau, jangan hitam terus selama 3 hari, hal ini sangat merugikan pengguna tidak bisa mengunjungi fasum.",,tolong ketika ada kasus salah input hasil tes bila sudah diperbaiki oleh mohon statusnya langsung berubah menjadi hijau jangan hitam terus selama hari hal ini sangat merugikan pengguna tidak bisa mengunjungi fasum
470,udah vaksin dosis 1 tapi statusnya masih merah..,,udah vaksin dosis tapi statusnya masih
471,"selalu gagal setiap melakukan proses check-in, mempersulit pengguna saat harus check-in di kantor utk masuk kerja, harus berulangkali melakukan check-in baru bisa sukses dan terkadang tiba-tiba check-in bisa berubah gagal dan harus diulang kembali padahal sebelumnya sudah sukses",,selalu gagal setiap melakukan proses mempersulit pengguna saat harus di kantor utk masuk kerja harus berulangkali melakukan baru bisa sukses dan terkadang bisa berubah gagal dan harus diulang kembali padahal sebelumnya sudah sukses
472,good,,good
473,"aplikasi rusak, gak bisa keluar sertifikat vaksin",,aplikasi rusak tidak bisa keluar sertifikat vaksin
474,error terus aplikasinya di maintaince atuh,,error terus aplikasinya di maintaince atuh
475,really bad.,,really bad
476,"unable to login, always closed automatically...",,unable to login always closed automatically
477,the app even won't be open,,the app even wo be open
478,saat scan barcode suka eror dan tidak bisa jadi harus ulang berkali²,,saat scan barcode suka error dan tidak bisa jadi harus ulang
479,mantap...,,mantap
480,sudah vaksin tp ketika check in selalu warna merah seperti belum vaksin. padahal nik sudah benar dan ada sertifikat jg.,,sudah vaksin tp ketika check in selalu warna merah seperti belum vaksin padahal nik sudah benar dan ada sertifikat jg
481,aplikasi suka eror dan lemot,,aplikasi suka error dan lemot
482,it's so good <33,,it so good
483,"sudah pernah dapat sms utk download sertifikat kedua... namun sms, link dan sertifikat terhapus. tetapi di aplikasi ini cuma muncul sudah vaksin kedua. namun tak ditemukan sertifikatnya... kenapa ga sinkron sama sms dulu ?",,sudah pernah dapat sms utk download sertifikat kedua namun sms link dan sertifikat terhapus tetapi di aplikasi ini cuma muncul sudah vaksin kedua namun tak ditemukan sertifikatnya kenapa tidak sinkron sama sms dulu
484,only some in english. nik only accepts numbers but the nik i was issued has letters,,only some in english nik only accepts numbers but the nik i was issued has letters
485,dalam nomor satu hp tidak bisa mendaftar pedulilindungi untuk 2 nik padahal sudah masing2 membuat regitrasi baru,,dalam nomor satu hp tidak bisa mendaftar pedulilindungi untuk nik padahal sudah membuat regitrasi baru
486,"thank you for tackling the feedbacks from previous version, especially regarding location permission access. the new version's ui is also more easy to use.",,thank you for tackling the feedbacks from previous version especially regarding location permission access the new version ui is also more easy to use
487,"check in susah banget, hampir selalu diluar radius padahal jelas2 lokasinya sudah diaktifkan jauh sebelum mau masuk tempatnya. mau check out juga susahnya minta ampun, diminta untuk aktifkan lokasi padahal lokasinya aktif terus",,check in susah banget hampir selalu diluar radius padahal lokasinya sudah diaktifkan jauh sebelum mau masuk tempatnya mau check out juga susahnya minta ampun diminta untuk aktifkan lokasi padahal lokasinya aktif terus
488,"loadingnya lama, pas di update gak ke update, udah di doqnload masi gjls well.",,loadingnya lama pas di update tidak ke update udah di doqnload masi gjls well
489,good apps,,good apps
490,good,,good
491,tampilan baru lebih user friendly,,tampilan baru lebih user friendly
492,update terbaru lebih user friendly dan memudahkannutk mencari fitur yg sering digunakan. masih dicoba untuk melihat apakah jika error karena gps belum uodate ke lokasi terkini akan kelihatan.,,update terbaru lebih user friendly dan memudahkannutk mencari fitur yg sering digunakan masih dicoba untuk melihat apakah jika error karena gps belum uodate ke lokasi terkini akan kelihatan
493,okkj,,okkj
494,sertifikat vaksin nggak keluar padahal udah vaksin 2 kali,,sertifikat vaksin tidak keluar padahal udah vaksin kali
495,bagus dan mudah di gunakan,,bagus dan mudah di gunakan
496,tidak dapat melihat sertifikat vaksin di handphone saya,,tidak dapat melihat sertifikat vaksin di handphone saya
497,weird,,weird
498,"review dihapus terus. kenapa ya? padahal ini review asli bintang 1. aplikasi tidak bisa dibuka, selalu muncul lokasi buatan terdeteksi. fakegps tidak pernah nyala dan mock location di disable. coba dibenerin dulu aplikasinya, gimana mau pakai kalau buka aja ga bisa.",,review dihapus terus kenapa ya padahal ini review asli bintang aplikasi tidak bisa dibuka selalu muncul lokasi buatan terdeteksi fakegps tidak pernah nyala dan mock location di disable coba dibenerin dulu aplikasinya gimana mau pakai kalau buka aja tidak bisa
499,sertifikat vaksin tidak bisa dilihat padahal sudah vaksinasi bulan maret dan april 2021,,sertifikat vaksin tidak bisa dilihat padahal sudah vaksinasi bulan maret dan april
500,"kadang aplikasi tidak mengirimkan kode verifikasi saat login. error ketika mengisi ehac, jenis kendaraan yang dipilih selalu berubah menjadi mobil",,kadang aplikasi tidak mengirimkan kode verifikasi saat login error ketika mengisi ehac jenis kendaraan yang dipilih selalu berubah menjadi mobil
501,payah,,payah
502,ecxelence,,ecxelence
503,"setting date dan lainnya ribet, lambat, dan data tdk terjaga. sdh vaksin pakai pcr lg, useless apps",,setting date dan lainnya ribet lambat dan data tdk terjaga sdh vaksin pakai pcr lg useless apps
504,"mau tanya min, untuk android 5.1.1 sudah tidak bisa pakai pedulilindungi?",,mau tanya min untuk android sudah tidak bisa pakai pedulilindungi
505,"sudah vaksin dan sertif tetap merah, call center tidak bisa dihubungi. trus gimana?",,sudah vaksin dan sertif tetap merah call center tidak bisa dihubungi trus gimana
506,tampilan trbaru lebih simple dan lebih bagus. mau scan juga gampang,,tampilan trbaru lebih simple dan lebih bagus mau scan juga gampang
507,sampah ga bisa login dah baca ampe khatam juga tetep g bisa,,sampah tidak bisa login dah baca ampe khatam juga tetep tidak bisa
508,"pak/buk mohon maaf ini sebelum nya kenapa hasil test pcr saya tidak muncul di apk peduli lindung? padahal klinik tersebut sudah terdaftar lab nya pas saya cek? baru kali ini saya mengalami hal semacam ini sebelum nya saya tidak perna mengalami ini.. sering saya melakukan penerbangan dan selalu test pcr tapi untuk kali ini kenapa tidak muncil di apk peduli lindung, apakah dari sistem klinik nya atau dri sistem peduli lindung nya? atau server mengenai inputan dari lab ke peduli lindung bermasalah",,mohon maaf ini sebelum nya kenapa hasil test pcr saya tidak muncul di apk peduli lindung padahal klinik tersebut sudah terdaftar lab nya pas saya cek baru kali ini saya mengalami hal semacam ini sebelum nya saya tidak perna mengalami sering saya melakukan penerbangan dan selalu test pcr tapi untuk kali ini kenapa tidak muncil di apk peduli lindung apakah dari sistem klinik nya atau dri sistem peduli lindung nya atau server mengenai inputan dari lab ke peduli lindung bermasalah
509,when i going a round.........,,when i going a round
510,ga bisa check out jadi ga bisa ke tpt lain. tolong perbaiki,,tidak bisa check out jadi tidak bisa ke tpt lain tolong perbaiki
511,bad app,,bad app
512,"tolong donk di update untuk bisa dibuka di android 12, terima kasih.",,tolong donk di update untuk bisa dibuka di android terimakasih kasih
