comment,processed,baku_cleared,label_manual
sudah vaksin sertifikat yang peduli lindung namun aplikasi nya keluar sertifikat tolong baik,vaksin sertifikat peduli lindung aplikasi nya sertifikat tolong baik,vaksin sertifikat peduli lindung aplikasi sertifikat tolong baik,-1
mudah guna,mudah guna,mudah guna,1
baik,baik,baik,1
aplikasi sangat sedih bahkan tidak lihat aplikasi harus oleh perintah kirim email prihatin hadap layan langgan tidak guna tidak jawab whatsover mana anggar masuk dompet,aplikasi sedih tidak lihat aplikasi oleh perintah kirim email prihatin hadap layan langgan tidak guna tidak whatsover anggar masuk dompet,aplikasi sedih tidak lihat aplikasi perintah kirim email prihatin hadap layan langgan tidak guna tidak anggar masuk dompet,-1
kuat telah logo pedulilindungi muncul,kuat logo pedulilindungi muncul,kuat logo muncul,-1
ampas aplikasi kirim sms otp aja tidak bisa bisa udah gunta ganti make nomor juga tidak bisa,ampas aplikasi kirim sms otp aja tidak bisa bisa udah gunta ganti make nomor tidak bisa,ampas aplikasi kirim aja tidak bisa bisa ganti nomor tidak bisa,-1
trouble scan qr lokasi semenjak update aplikasi bagus versi tolong baik,trouble scan qr lokasi semenjak update aplikasi bagus versi tolong baik,lokasi semenjak aplikasi bagus versi tolong baik,-1
vaksin dosis status kuning,vaksin dosis status kuning,vaksin dosis status kuning,-1
tolong baik mau masukin nik tidak bisa tulis nya dengan ktp saya punya ktp,tolong baik masukin nik tidak bisa tulis nya ktp punya ktp,tolong baik nik tidak bisa tulis saya,-1
update gagal kalau check in,update gagal check in,gagal,-1
bisa login bas kali coba kode otp kirim nya telat kenapa check in apk pedulilindungi engga bisa kalau pakai aplikasi online shop bisa langsung check in,bisa login bas kali coba kode otp kirim nya telat check in apk pedulilindungi engga bisa pakai aplikasi online shop bisa langsung check in,bisa bas kali coba kode kirim telat engga bisa pakai aplikasi bisa langsung in,-1
selalu baca log in dibtempat saat scan kantor tidak opsi check out cek koneksi update tetap aplikasi belum matang,baca log in dibtempat scan kantor tidak opsi check out cek koneksi update aplikasi matang,baca log scan kantor tidak opsi cek koneksi aplikasi matang,-1
aplikasi bagus,aplikasi bagus,aplikasi bagus,1
bagus,bagus,bagus,1
baik deh karya anak bangsa,baik deh karya anak bangsa,baik deh karya anak bangsa,1
aplikasi aneh dari yk pontianak pilih pesawat eh malah mobil edit pesawat tidak bisa aplikasi aneh lucu,aplikasi aneh yk pontianak pilih pesawat eh mobil edit pesawat tidak bisa aplikasi aneh lucu,aplikasi aneh pilih pesawat mobil edit pesawat tidak bisa aplikasi aneh lucu,-1
aplikasi tidak guna bikin baterai hp cepat habis,aplikasi tidak guna bikin baterai hp cepat habis,aplikasi tidak guna bikin baterai cepat habis,-1
ini bagus,bagus,bagus,1
telat verifikasi harus ulang verifikasi alur daftar bingung tidak tunjuk jelas,telat verifikasi ulang verifikasi alur daftar bingung tidak jelas,telat verifikasi ulang verifikasi alur daftar bingung tidak,-1
buruk,buruk,buruk,-1
yoo the man datang tidak sejarah jalan berapa kali pasuk mal bangun tidak taruh gambar saya di profil,yoo the man tidak sejarah jalan kali pasuk mal bangun tidak taruh gambar di profil,man tidak sejarah jalan kali pasuk mal bangun tidak taruh gambar profil,0
oke,oke,oke,1
jelek tolong fitur karna tiap kali buka apps tidak sesuai lokasi itu jga jdi hrus tunggu merestart location service pun appsnya,jelek tolong fitur tiap kali buka apps tidak sesuai lokasi jga jdi hrus tunggu merestart location service appsnya,jelek tolong kali buka tidak sesuai lokasi hrus tunggu pun,-1
lapor sert tidak out,lapor sert tidak out,lapor tidak,-1
menu hasil tes covid nya hilang belum muncul,menu hasil tes covid nya hilang muncul,menu hasil tes hilang muncul,-1
apk sangat terimakasih kasih peduli,apk terimakasih kasih peduli,kasih peduli,1
login guna desktop pc tidak bisa pakai login hape android android aplikasi bisa kirim otp tapi aplikasi tutup jadi tidak bisa menginputkan kode otp proses login aplikasi force close telah kirim otp buka aplikasi masuk ngirim otp force close demikian updated ubah bintang applikasi bisa pakai,login guna desktop pc tidak bisa pakai login hape android android aplikasi bisa kirim otp aplikasi tutup tidak bisa menginputkan kode otp proses login aplikasi force close kirim otp buka aplikasi masuk ngirim otp force close updated ubah bintang applikasi bisa pakai,guna tidak bisa pakai android aplikasi bisa kirim aplikasi tutup tidak bisa kode proses aplikasi kirim buka aplikasi masuk close ubah bintang bisa pakai,-1
karya anak bangsa good job,karya anak bangsa good job,karya anak bangsa,1
desain bodoh nik dalam sistem masih untuk masuk dan bahkan orang awam tidak rancang bodoh itu,desain bodoh nik sistem untuk masuk bahkan orang awam tidak rancang bodoh,desain bodoh nik sistem masuk orang awam tidak rancang bodoh,-1
app tidak asal banyak error,app tidak banyak error,tidak,-1
wajib install peduli lindung tp website pcr result tidak masuk lg tidak otp tidak pagi fibandara jd,wajib install peduli lindung tp website pcr result tidak masuk lg tidak otp tidak pagi fibandara jd,wajib peduli lindung result tidak masuk tidak tidak pagi,-1
gimana sih bikin aplikasi tidak test semua device android beri tanda tuju bijak tombol next nya,gimana sih bikin aplikasi tidak test device android tanda tuju bijak tombol next nya,sih bikin aplikasi tidak android tanda tuju bijak tombol,-1
gimana sih sdh bbrp install ulang tetep tidak bisa masuk peduli lindung emang hrs beli hp yg utk bisa masuk tolong donk dipikirin pademi kyk gin suruh beli hp daripada beli hp uang buat makan payah peduli lindung tidak mensupport rakyat yg ke liat tengah aja,gimana sih sdh bbrp install ulang tetep tidak bisa masuk peduli lindung emang hrs beli hp utk bisa masuk tolong donk dipikirin pademi kyk gin suruh beli hp beli hp uang makan payah peduli lindung tidak mensupport rakyat ke liat aja,sih ulang tidak bisa masuk peduli lindung emang beli bisa masuk tolong kyk gin suruh beli beli uang makan payah peduli lindung tidak rakyat ke liat aja,-1
saat saya keluarga wna tidak pasuk status vaksinasi merah aplikasi kita sudah selesai vaksinasi sini kemlu wallough tunjuk sertifikat vaksin tetapi tidak pasuk yang tuju mungkin sertifikat vaksin guna nomor id kitas pada aplikasi pedulilindungi guna nomor paspor sudah kirim email otoritis masalah kami tidak jawab tolong ubah,saya keluarga wna tidak pasuk status vaksinasi merah aplikasi selesai vaksinasi kemlu wallough sertifikat vaksin tidak pasuk tuju sertifikat vaksin guna nomor id kitas aplikasi pedulilindungi guna nomor paspor sudah kirim email otoritis kami tidak tolong ubah,keluarga tidak pasuk status vaksinasi merah aplikasi selesai vaksinasi tunjuk sertifikat vaksin tidak pasuk tuju sertifikat vaksin guna nomor aplikasi guna nomor paspor kirim email tidak tolong ubah,-1
apps jelek sertifikat vaksin udh daftar tidak,apps jelek sertifikat vaksin udh daftar tidak,jelek sertifikat vaksin daftar tidak,-1
tidak akses sertifikat vaksin eventho data tunjuk vaksin saya sudah coba kali sila baik,tidak akses sertifikat vaksin eventho data vaksin sudah coba kali sila baik,tidak akses sertifikat vaksin data vaksin coba kali sila baik,-1
data tidak update,data tidak update,data tidak,-1
download aplikasi tiap masuk keluar lokasi deteksi saya tidak nyala vpn tidak guna aplikasi fake gps saya coba install ulang tidak bisa,download aplikasi masuk lokasi deteksi tidak nyala vpn tidak guna aplikasi fake gps coba install ulang tidak bisa,aplikasi masuk lokasi deteksi tidak nyala tidak guna aplikasi coba ulang tidak bisa,-1
problem aplikasi diinstall samsung prime lebar layar inch aplikasi jalan buka halaman tuju engga bisa discroll bawah engga bisa klik ok tuju mohon baik udah baik diupdate bintang,problem aplikasi diinstall samsung prime lebar layar inch aplikasi jalan buka halaman tuju engga bisa discroll engga bisa klik ok tuju mohon baik udah baik diupdate bintang,problem aplikasi lebar layar aplikasi jalan buka halaman tuju bisa bisa klik tuju mohon baik baik bintang,-1
tidak bisa download sertifikat tidak muncul nik tidak daftar,tidak bisa download sertifikat tidak muncul nik tidak daftar,tidak bisa sertifikat tidak muncul nik tidak daftar,-1
aplikasi henti tidak bisa akun aplikasi langsung stop sdh coba instal ulang,aplikasi henti tidak bisa akun aplikasi langsung stop sdh coba instal ulang,aplikasi henti tidak bisa akun aplikasi langsung stop coba ulang,-1
update versi status vaksinasi saya warna hijau karna saya vaksin dosis beda lokasi vaksinasi dosis dosis telah update versi status vaksinasi warna kuning nyata laku vaksin dosis di menu sertifikat vaksin muncul sertifikat dosis sertifikat dosis tidak sinkron menu status vaksinasi menu sertifikat vaksin,update versi status vaksinasi warna hijau saya vaksin dosis beda lokasi vaksinasi dosis dosis update versi status vaksinasi warna kuning nyata laku vaksin dosis menu sertifikat vaksin muncul sertifikat dosis sertifikat dosis tidak sinkron menu status vaksinasi menu sertifikat vaksin,versi status vaksinasi warna hijau vaksin dosis beda lokasi vaksinasi dosis dosis versi status vaksinasi warna kuning nyata laku vaksin dosis menu sertifikat vaksin muncul sertifikat dosis sertifikat dosis tidak sinkron menu status vaksinasi menu sertifikat vaksin,-1
gimana abis udate layar accet agreement tidak bisa scroll pikir hp layar gede ya,gimana abis udate layar accet agreement tidak bisa scroll pikir hp layar gede ya,abis layar tidak bisa pikir layar gede,-1
login tidak bisa gimana,login tidak bisa gimana,tidak bisa,-1
hampir minggu vaksin periode tidak sms notif juga cek via tidak sertifikat hmmm,minggu vaksin periode tidak sms notif cek via tidak sertifikat hmmm,minggu vaksin periode tidak cek via tidak sertifikat,-1
ingin cek sertifikat vaksin tidak bisa,cek sertifikat vaksin tidak bisa,cek sertifikat vaksin tidak bisa,-1
saran aja kak otp sms mgkn lbih baik pindah ke wa telegram tetap guna sms mgkn request ulang otp code nya bisa ditmbahkan menit saya request otp sms tidak masuk mgkn guna kurang antri kirim sms tidak mgkn request ulang sms hapus request,saran aja kak otp sms mgkn lbih baik pindah wa telegram guna sms mgkn request ulang otp code nya bisa ditmbahkan menit request otp sms tidak masuk mgkn guna antri kirim sms tidak mgkn request ulang sms hapus request,saran aja kak baik pindah telegram guna ulang bisa menit tidak masuk guna antri kirim tidak ulang hapus request,0
daftar vaksin tetapi sertifikat vaksin tidak deteksi,daftar vaksin sertifikat vaksin tidak deteksi,daftar vaksin sertifikat vaksin tidak deteksi,-1
aplikasi nya lbh bagus versi notes bug pilih icon travel regulations aplikasi crash,aplikasi nya lbh bagus versi notes bug pilih icon travel regulations aplikasi crash,aplikasi bagus versi notes pilih aplikasi,0
update aplikasi force close susah akses,update aplikasi force close susah akses,aplikasi susah akses,-1
aplikasi bodoh,aplikasi bodoh,aplikasi bodoh,-1
ui sederhana lebih baik lebih cepat oke,ui sederhana baik cepat oke,sederhana baik cepat oke,1
negara bisnis rakyat,negara bisnis rakyat,negara bisnis rakyat,-1
perfoma tapi tampil tidak nyaman jangkau fitur opsi serasa pakai kurang nyaman,perfoma tampil tidak nyaman jangkau fitur opsi serasa pakai nyaman,tampil tidak nyaman jangkau opsi serasa pakai nyaman,-1
susah bet bikin ehac programmer alam validasi bikin bingung user,susah bet bikin ehac programmer alam validasi bikin bingung user,susah bet bikin alam bikin bingung,-1
certificat vaksin tidak muncul sudah vaksin lengkap,certificat vaksin tidak muncul vaksin lengkap,vaksin tidak muncul vaksin lengkap,-1
rumah sekali ke mall scan peduli lindung status hitam vaksin lama gimana ya solusi sy dan tidak bisa status nya hitam,rumah ke mall scan peduli lindung status hitam vaksin gimana ya solusi sy tidak bisa status nya hitam,rumah scan peduli lindung status hitam vaksin solusi tidak bisa status hitam,-1
muncul notifikasi lokasi deteksi tidak pakai lokasi pake google map lokasi saya kirim email isi screenshot alamat email yg saran sudah lebih tidak baik perintah tidak yang sanggup aplikasi yg serah swasta kalau pakai tenaga asing paksa pakai sdm perintah yg tidak ingat aplikasi wajib lho kalo masuk ke banyak,muncul notifikasi lokasi deteksi tidak pakai lokasi pake google map lokasi kirim email isi screenshot alamat email saran lebih tidak baik perintah tidak sanggup aplikasi serah swasta pakai tenaga asing paksa pakai sdm perintah tidak aplikasi wajib lho kalo masuk banyak,muncul notifikasi lokasi deteksi tidak pakai lokasi map lokasi kirim email isi alamat email saran tidak baik perintah tidak sanggup aplikasi serah swasta pakai tenaga asing paksa pakai perintah tidak aplikasi wajib kalo masuk,-1
tidak bisa scroll,tidak bisa scroll,tidak bisa,-1
saya update aplikasi pedulilindungi bersi saya bikin ehac terbang saya pilih airplane selalu ubah car preview ulang itu ini hambat proses verifikasi bandara,update aplikasi pedulilindungi bersi bikin ehac terbang pilih airplane ubah car preview ulang ini hambat proses verifikasi bandara,aplikasi bikin terbang pilih ubah preview ulang hambat proses verifikasi bandara,-1
seringkali salah rumah akun saya selalu,seringkali salah rumah akun selalu,salah rumah akun,-1
dapat kartu hijau untuk tinggal eropa,kartu hijau tinggal eropa,kartu hijau tinggal,0
tolong hilang fitur automatic check out,tolong hilang fitur automatic check out,tolong hilang out,-1
manfaat,manfaat,manfaat,1
baik referensi bagus youtube channel mas kukuhaldy judul tutorial redesain aplikasi peduli lindung figma sederhana fokus butuh utama jalan singkat antri,baik referensi bagus youtube channel mas kukuhaldy judul tutorial redesain aplikasi peduli lindung figma sederhana fokus butuh utama jalan singkat antri,baik referensi bagus mas judul tutorial aplikasi peduli lindung sederhana fokus butuh utama jalan singkat antri,0
daftar vaksin tidak bisa aplikasi website loading mulu di atas menit belum kelar jari signal tidak masalah dengen yang,daftar vaksin tidak bisa aplikasi website loading mulu atas menit kelar jari signal tidak dengen,daftar vaksin tidak bisa aplikasi di menit kelar jari tidak,-1
bagus,bagus,bagus,1
orang asing tinggal indonesia tidak masuk vaksinasi anda tanpa nomor nik nomor nik orang indonesia harus milik opsi nomor paspor saya tempat bahasa inggris untuk bahasa bagi masih bahasa indonesia,orang asing tinggal indonesia tidak masuk vaksinasi tanpa nomor nik nomor nik orang indonesia milik opsi nomor paspor tempat bahasa inggris bahasa masih bahasa indonesia,orang asing tinggal indonesia tidak masuk vaksinasi nomor nik nomor nik orang indonesia milik opsi nomor paspor bahasa inggris bahasa bahasa indonesia,0
belum vaksin alas sehat baru vaksin coba daftar vaksin aplikasi saya tidak bisa telah periksa nik saya juga coba websitenya tapi tetap tidak bisa,vaksin alas sehat vaksin coba daftar vaksin aplikasi tidak bisa periksa nik juga coba websitenya tetap tidak bisa,vaksin alas sehat vaksin coba daftar vaksin aplikasi tidak bisa periksa nik coba tidak bisa,-1
gagal check in mulu tolong baik sistem sulit doang tidak manfaat,gagal check in mulu tolong baik sistem sulit doang tidak manfaat,gagal tolong baik sistem sulit doang tidak manfaat,-1
tidak terima email tiket vaksin saya coba,tidak terima email tiket vaksin coba,tidak terima email tiket vaksin coba,-1
tidak bisa payah aplikasi nya,tidak bisa payah aplikasi nya,tidak bisa payah aplikasi,-1
gogle tidak bisa buka aplikasi,gogle tidak bisa buka aplikasi,tidak bisa buka aplikasi,-1
program luar,program luar,program luar,1
versi macet android versi fungsi biasa,versi macet android versi fungsi,versi macet versi fungsi,-1
maju bantu tahan mungkin tingkat,maju bantu tahan tingkat,maju bantu tahan tingkat,1
tidak bisa buka hp keluar trs payah pedulilindungi,tidak bisa buka hp trs payah pedulilindungi,tidak bisa buka payah,-1
bagus sederhana cepat fungsi mudah,bagus sederhana cepat fungsi mudah,bagus sederhana cepat fungsi mudah,1
gimana sih habis diupdate tidak bisa masuk sekali orang tidak bisa giamana sih ih edit developer kasih mohon baca email komplain ya situ cara perinci kenapa aplikasi tidak bisa pakai tidak ada efek soal size text hp aplikasi terus crash tolong baik orng jadi hambat aktivitas,gimana sih habis diupdate tidak bisa masuk orang tidak bisa giamana sih ih edit developer kasih mohon baca email komplain ya situ perinci aplikasi tidak bisa pakai tidak efek size text hp aplikasi crash tolong baik orng hambat aktivitas,sih habis tidak bisa masuk orang tidak bisa sih edit developer kasih mohon baca email komplain situ perinci aplikasi tidak bisa pakai tidak efek hp aplikasi tolong baik hambat aktivitas,-1
sempurna,sempurna,sempurna,1
parahh aplikasi nya tidak bisa buka,parahh aplikasi nya tidak bisa buka,aplikasi tidak bisa buka,-1
oke bisa daftar punya akun makin keren aplikasi,oke bisa daftar akun keren aplikasi,oke bisa daftar akun keren aplikasi,1
hp samsung pro aplikasi klik tuju scroll bawah tidak bisa soluai nya,hp samsung pro aplikasi klik tuju scroll tidak bisa soluai nya,pro aplikasi klik tuju tidak bisa,-1
salah halaman login saya terima cek daftar tidak fungsi pergi pagr tolong selesai begitu orang tidak masuk id,salah halaman login terima cek daftar tidak fungsi pergi pagr tolong selesai orang tidak masuk id,salah halaman terima cek daftar tidak fungsi pergi tolong selesai orang tidak masuk,-1
bug benerin atuh woy bikin ehac di jenis kelamin gue naek pesawat drubah mobil dn klo gw bkin ulang tidak bisa next scan boarding pass manual udah ehacnya edit crash,bug benerin atuh woy bikin ehac jenis kelamin gue naek pesawat drubah mobil dn klo gw bkin ulang tidak bisa next scan boarding pass manual udah ehacnya edit crash,woy bikin jenis kelamin gue pesawat mobil bkin ulang tidak bisa pass manual edit,-1
aplikasi buruk,aplikasi buruk,aplikasi buruk,-1
aplikasi bagus,aplikasi bagus,aplikasi bagus,1
update izin lokasi baru pakai saat aplikasi guna input validasi telah mutakhir user interface makin user friendly gerat work,update izin lokasi pakai aplikasi guna input validasi mutakhir user interface user friendly gerat work,izin lokasi pakai aplikasi guna mutakhir user gerat,1
hari jadi versi tampil baru check in lancar lihat klik menu nya cepat moga bagus ya belum checkin tidak terima checkout kaga bisa klik certificate nya main maklumsihtapikesal moga baru tidak susah check in yaaa terimakasih kasih,jadi versi tampil check in lancar lihat klik menu nya cepat moga bagus ya checkin tidak terima checkout kaga bisa klik certificate nya main maklumsihtapikesal moga tidak susah check in yaaa terimakasih kasih,versi tampil lancar lihat klik menu cepat moga bagus tidak terima bisa klik main moga tidak susah in kasih,1
aplikasi bodoh untuk mutakhir kemudian tidak buka tingkat instal ulang aplikasi tidak buka instal ulang masih tidak buka sekarang tidak bisa pergi mana hebat,aplikasi bodoh mutakhir tidak buka tingkat instal ulang aplikasi tidak buka instal ulang tidak buka tidak bisa pergi hebat,aplikasi bodoh mutakhir tidak buka tingkat ulang aplikasi tidak buka ulang tidak buka tidak bisa pergi hebat,-1
kelahi,kelahi,kelahi,0
sms verifikasi tidak ada isi data daftar vaksin udah coba kali kali minggu coba tidak ada sms verifikasi ya tidak dong tanda kan mati nunggu masukin noror verifikasi,sms verifikasi tidak isi data daftar vaksin udah coba kali kali minggu coba tidak sms verifikasi ya tidak tanda mati nunggu masukin noror verifikasi,verifikasi tidak isi data daftar vaksin coba kali kali minggu coba tidak verifikasi tidak tanda mati verifikasi,-1
update versi lebih ringan smooth,update versi ringan smooth,versi ringan,1
tidak bisa masuk data anggota keluarga yg,tidak bisa masuk data anggota keluarga,tidak bisa masuk data anggota keluarga,-1
salah tinggal,salah tinggal,salah tinggal,0
tidak unduh,tidak unduh,tidak unduh,-1
sudah vaksin tp status tulis vaksin wrn statusny mas merah mohon ya baik,vaksin tp status tulis vaksin wrn statusny mas merah mohon ya baik,vaksin status tulis vaksin mas merah mohon baik,-1
zona resiko hilang update balikin yg juga bagus dibandingin yg,zona resiko hilang update balikin juga bagus dibandingin,zona resiko hilang juga bagus,-1
alam buruk pindai sangat buruk lokasi tidak aktual tolong lebih baik,alam buruk pindai buruk lokasi tidak aktual tolong baik,alam buruk pindai buruk lokasi tidak aktual tolong baik,-1
radius maksud deh scanning aja ribet,radius maksud deh scanning aja ribet,radius maksud deh aja,-1
susah harus buka ulang hendak log in log out tidak praktis,susah buka ulang log in log out tidak praktis,susah buka ulang log log tidak praktis,-1
bagus,bagus,bagus,1
edit ehac tidak bisa padahal data yg masuk tp hasil data yg tampil salah,edit ehac tidak bisa data masuk tp hasil data tampil salah,edit tidak bisa data masuk hasil data tampil salah,-1
tidak bisa masuk mentok pilih warga negara muncul term of use and privacy policy udah ceklis eh next nya bawah layar tidak bisa geser,tidak bisa masuk mentok pilih warga negara muncul term of use and privacy policy udah ceklis eh next nya layar tidak bisa geser,tidak bisa masuk mentok pilih warga negara muncul term privacy eh layar tidak bisa geser,-1
mulai baik tingkat,baik tingkat,baik tingkat,1
bantu,bantu,bantu,1
aplikasi bagus saya tidak bisa isi fto profil,aplikasi bagus tidak bisa isi fto profil,aplikasi bagus tidak bisa isi profil,0
bintang edit lima saat sudah update versi yg selasa pagi nov login kode otp mudah cepat saya terimakasih yg utama gps tidak aktif sudah aplikasi tutup good joob,bintang edit saat update versi selasa pagi nov login kode otp mudah cepat terimakasih utama gps tidak aktif aplikasi tutup good joob,bintang edit update versi selasa pagi kode mudah cepat utama tidak aktif aplikasi tutup,1
alhamdulillah bagus,alhamdulillah bagus,alhamdulillah bagus,1
tidak info jadwal vaksin sih kesal soal,tidak info jadwal vaksin sih kesal,tidak info jadwal vaksin sih kesal,-1
bamyak fitur yg tidak fungsi,bamyak fitur tidak fungsi,tidak fungsi,-1
tidak bisa cetak sertifikat vaksin ya di klik kali kali tombol nya tidak fungsi,tidak bisa cetak sertifikat vaksin ya klik kali kali tombol nya tidak fungsi,tidak bisa cetak sertifikat vaksin klik kali kali tombol tidak fungsi,-1
tolong benah aplikasi tidak kerja error akibat sulit masuk lokasi saya kerja lokasi terimakasih kasih,tolong benah aplikasi tidak kerja error akibat sulit masuk lokasi kerja lokasi terimakasih kasih,tolong benah aplikasi tidak kerja akibat sulit masuk lokasi kerja lokasi kasih,-1
oke,oke,oke,1
harus aplikasi untuk deteksi gera henti data tidak andal tampil vs reality vaksinasi tidak tampil vaksinasi aplikasi serius app fpr serius lelucon,aplikasi deteksi gera henti data tidak andal tampil vs reality vaksinasi tidak tampil vaksinasi aplikasi serius app fpr serius lelucon,aplikasi deteksi gera henti data tidak andal tampil vaksinasi tidak tampil vaksinasi aplikasi serius serius lelucon,-1
muncul no internet connection sertifikat vaksin tidak muncul sudah vaksinasi yg,muncul no internet connection sertifikat vaksin tidak muncul vaksinasi,muncul sertifikat vaksin tidak muncul vaksinasi,-1
error jamaah bandara payah aplikasi,error jamaah bandara payah aplikasi,jamaah bandara payah aplikasi,-1
stelah tuju and terms ceklis apa tidak tombol interaktif,stelah tuju and terms ceklis tidak tombol interaktif,tuju apa tidak tombol interaktif,-1
a mal samil,a mal samil,mal,0
susah,susah,susah,-1
error larang pasuk gedung negatif baik aplikasi,error larang pasuk gedung negatif baik aplikasi,larang pasuk gedung negatif baik aplikasi,-1
tidak bisa lihat sertifikat vaksin pedulilindungi klik check isi data tapi henti step tidak bisa ke step edit replay saya tidak temu paspor digital di halaman utama aplikasi peduli lindung saya,tidak bisa lihat sertifikat vaksin pedulilindungi klik check isi data henti step tidak bisa step edit replay tidak temu paspor digital halaman utama aplikasi peduli lindung,tidak bisa lihat sertifikat vaksin klik isi data henti step tidak bisa step edit tidak temu paspor digital halaman utama aplikasi peduli lindung,-1
versi tidak jalan beberapa hp androif,versi tidak jalan hp androif,versi tidak jalan,-1
tidak bisa download apps,tidak bisa download apps,tidak bisa,-1
semenjak pelindungdiri tidak tau handphone suka restart proses buka aplikasi home lama tuju aplikasi baik dapat paham,semenjak pelindungdiri tidak tau handphone suka restart proses buka aplikasi home tuju aplikasi baik paham,semenjak tidak tau suka proses buka aplikasi tuju aplikasi baik paham,-1
lokasi deteksi laku hal on off opsi kembang tidak guna aplikasi pikir integrasi basis data sktt nik asing milik telah pada tanggal november hanya milik lokal asing telepon ketika logoff tidak bisa masuk tokopedia gopay lebih baik dapat andal saya kirim email balik,lokasi deteksi laku on off opsi kembang tidak guna aplikasi pikir integrasi basis data sktt nik asing milik pada tanggal november milik lokal asing telepon logoff tidak bisa masuk tokopedia gopay baik andal kirim email,lokasi deteksi laku opsi kembang tidak guna aplikasi pikir integrasi basis data nik asing milik tanggal november milik lokal asing telepon tidak bisa masuk baik andal kirim email,-1
app pedulilindungi jadi praktis,app pedulilindungi praktis,praktis,1
perintah manasi aplikasi,perintah manasi aplikasi,perintah aplikasi,0
telah update sertifikat vaksin ilang tidak pdhal lg butuh,update sertifikat vaksin ilang tidak pdhal lg butuh,sertifikat vaksin tidak butuh,-1
repot undang virus harus scan qr code lagi aplikasi d bbrp hp tidak bisa,repot undang virus scan qr code aplikasi d bbrp hp tidak bisa,repot undang virus code aplikasi tidak bisa,-1
update ui jelek,update ui jelek,jelek,-1
dah daftar vaksin app dr tp tidak pemberitahuan dan,dah daftar vaksin app dr tp tidak pemberitahuan,dah daftar vaksin tidak,-1
tidak lanjut tuju,tidak tuju,tidak tuju,-1
aplikasi noraaakk hasil positif tidak ubah pcr dgn hasil negatif susah orang aja,aplikasi noraaakk hasil positif tidak ubah pcr dgn hasil negatif susah orang aja,aplikasi hasil positif tidak ubah hasil negatif susah orang aja,-1
habis vaksin tapi serifikat tidak muncul aplikasi udah masukin data ulang kali aja,habis vaksin serifikat tidak muncul aplikasi udah masukin data ulang kali aja,habis vaksin tidak muncul aplikasi data ulang kali aja,-1
aplikasi tolol kadang tidak tidak bisa orang aja,aplikasi tolol kadang tidak tidak bisa orang aja,aplikasi tolol kadang tidak tidak bisa orang aja,-1
aplikasi jelek diupdate malah jd tidak bisa login scroll di privasi guna login tidak bisa kalo masuk wajib scan app tidak paham sih developer app niat tidak ngurus app nya krn banyak bug yg hambat app penting wajib moga lebih baik tidak kendala lg lain,aplikasi jelek diupdate jd tidak bisa login scroll privasi guna login tidak bisa kalo masuk wajib scan app tidak paham sih developer app niat tidak ngurus app nya banyak bug hambat app wajib moga baik tidak kendala lg,aplikasi jelek tidak bisa privasi guna tidak bisa kalo masuk wajib tidak paham sih developer niat tidak karena hambat penting wajib moga baik tidak kendala,-1
aplikasi buruk tolong baik aplikasi karena tidak lihat sertifikat vaksin,aplikasi buruk tolong baik aplikasi tidak lihat sertifikat vaksin,aplikasi buruk tolong baik aplikasi tidak lihat sertifikat vaksin,-1
tidak bisa lihat sertifikat vaksin klik tombol sertifikat vaksin kembali halaman periksa data,tidak bisa lihat sertifikat vaksin klik tombol sertifikat vaksin halaman periksa data,tidak bisa lihat sertifikat vaksin klik tombol sertifikat vaksin halaman periksa data,-1
semua check in nya gagal check in,check in nya gagal check in,gagal in,-1
ba ji ngan lahhhh gua paksa donlot ginian sampahhh jan cukkk atur sial vaksin tidak,ba ji ngan lahhhh gua paksa donlot ginian sampahhh jan cukkk atur sial vaksin tidak,lahhhh gua paksa jan atur sial vaksin tidak,-1
malah keluarin aplikasi suruh login ulang suruh ngisi rumput kotak tuju malah tidak bisa di scroll bwah lanjut ini,keluarin aplikasi suruh login ulang suruh ngisi rumput kotak tuju tidak bisa scroll bwah ini,aplikasi suruh ulang suruh rumput kotak tuju tidak bisa lanjut,-1
pilih tanggal lahir tidak praktis khusus pilih,pilih tanggal lahir tidak praktis khusus pilih,pilih tanggal lahir tidak praktis khusus pilih,-1
sertifikat vaksin sudah minggu tidak di web sdh,sertifikat vaksin minggu tidak web sdh,sertifikat vaksin minggu tidak,-1
update yg update performa tidak bisa login product jadi paksa kerja tri yg bener donk bikin aplikasi wajib harus dipake rakyat pake uang rakyat kualitas jelek tri kalo tidak bikin aplikasi bagus bayar swasta aja macam yg bukti,update update performa tidak bisa login product paksa kerja tri bener donk bikin aplikasi wajib dipake rakyat pake uang rakyat kualitas jelek tri kalo tidak bikin aplikasi bagus bayar swasta aja yang bukti,performa tidak bisa paksa kerja tri bener bikin aplikasi wajib rakyat uang rakyat kualitas jelek tri kalo tidak bikin aplikasi bagus bayar swasta aja bukti,-1
ok versi sudah tidak akses gps,ok versi tidak akses gps,versi tidak akses,1
ok kdg applikasi nyangkut scab lokasi,ok kdg applikasi nyangkut scab lokasi,nyangkut lokasi,0
mks kak,mks kak,kak,1
menginstalnya tiap kali menginstalnya salah tidak fungsi normal dan sekarang tidak dapat menginstalnya terus tunda saya tidak percaya aplikasi sampah jadi referensi selamat publik,menginstalnya kali menginstalnya salah tidak fungsi normal sekarang tidak menginstalnya tunda tidak percaya aplikasi sampah referensi selamat publik,kali salah tidak fungsi normal tidak tunda tidak percaya aplikasi sampah referensi selamat publik,-1
