comment,processed,label_manual
tidak bisa scroll,tak_tidak_kagak bisa_sanggup_dapat scroll,-1
saya update aplikasi pedulilindungi bersi saya bikin ehac terbang saya pilih airplane selalu ubah car preview ulang itu ini hambat proses verifikasi bandara,update operasi_aplikasi pedulilindungi bersi bikin ehac terbang pilih airplane pindai_ubah_ganti_pindah car preview kembali_ulang ini hambat cara_mode_jalan_proses_operasi_sistem tes_validasi_verifikasi_konfirmasi bandara,-1
seringkali salah rumah akun saya selalu,seringkali meleset_cacat_salah_lupa gedung_rumah akun tetap_selalu_saja,-1
good applikasi,good applikasi,1
dapat kartu hijau untuk tinggal eropa,kartu_tiket_surat hijau masih_tinggal eropa,0
tolong hilang fitur automatic check out,tolong_bantu rugi_turun_habis_pergi_hilang_hapus_tanggal_pecah_mati_lenyap fitur automatic check out,-1
manfaat,manfaat_guna_untung_fungsi_arti,1
baik referensi bagus youtube channel mas kukuhaldy judul tutorial redesain aplikasi peduli lindung figma sederhana fokus butuh utama jalan singkat antri,ramah_ya_baik_normal_jujur_sehat_bagus_pulih_efektif_oke_enak referensi baik_bagus_keren youtube channel mas_uda kukuhaldy judul tutorial redesain operasi_aplikasi tahu_peduli lindung figma biasa_sederhana_sedang fokus butuh istimewa_utama_sempurna jalan simpan_singkat_sebentar_kecil antri,0
daftar vaksin tidak bisa aplikasi website loading mulu di atas menit belum kelar jari signal tidak masalah dengen yang,jadwal_register_daftar vaksin tak_tidak_kagak bisa_sanggup_dapat operasi_aplikasi website loading mulu atas menit kelar jari signal tak_tidak_kagak dengen,-1
bagus,baik_bagus_keren,1
orang asing tinggal indonesia tidak masuk vaksinasi anda tanpa nomor nik nomor nik orang indonesia harus milik opsi nomor paspor saya tempat bahasa inggris untuk bahasa bagi masih bahasa indonesia,bangsa_orang_manusia asing_lain_aneh_luar_jauh masih_tinggal indonesia tak_tidak_kagak masuk_kena_turun_sampai vaksinasi tanpa nomor_angka nik nomor_angka nik bangsa_orang_manusia indonesia milik alternatif_opsi nomor_angka paspor tempat kode_cara_bahasa inggris kode_cara_bahasa masih_lagi_sedang_tinggal_tengah kode_cara_bahasa indonesia,0
belum vaksin alas sehat baru vaksin coba daftar vaksin aplikasi saya tidak bisa telah periksa nik saya juga coba websitenya tapi tetap tidak bisa,vaksin dasar_alas_basis sehat_enak_fit_segar aktual_mutakhir_baru_segar vaksin kalau_coba_jika jadwal_register_daftar vaksin operasi_aplikasi tak_tidak_kagak bisa_sanggup_dapat cek_periksa_kontrol nik saja_lagi_lumayan_pun_juga kalau_coba_jika websitenya tentu_tetap_mantap_stabil tak_tidak_kagak bisa_sanggup_dapat,-1
gagal check in mulu tolong baik sistem sulit doang tidak manfaat,gagal_rusak_kalah check in mulu tolong_bantu ramah_ya_baik_normal_jujur_sehat_bagus_pulih_efektif_oke_enak sistem_orde berat_repot_sulit_payah_serius_susah hanya_saja_doang_juga tak_tidak_kagak manfaat_guna_untung_fungsi_arti,-1
tidak terima email tiket vaksin saya coba,tak_tidak_kagak terima email kartu_tiket vaksin kalau_coba_jika,-1
tidak bisa payah aplikasi nya,tak_tidak_kagak bisa_sanggup_dapat berat_parah_sulit_payah_serius_lelah_lambat_susah_sangat_keras operasi_aplikasi nya,-1
gogle tidak bisa buka aplikasi,gogle tak_tidak_kagak bisa_sanggup_dapat buka_aktif operasi_aplikasi,-1
program luar,program asing_luar,1
versi macet android versi fungsi biasa,tipe_versi_cara_jenis rusak_macet android tipe_versi_cara_jenis tugas_fungsi_manfaat_guna,-1
maju bantu tahan mungkin tingkat,maju_lanjut angkat_bantu_beri_tolong_dukung tahan_kuat_kebal_sabar_stabil tingkat,1
tidak bisa buka hp keluar trs payah pedulilindungi,tak_tidak_kagak bisa_sanggup_dapat buka_aktif hp trs berat_parah_sulit_payah_serius_lelah_lambat_susah_sangat_keras pedulilindungi,-1
bagus sederhana cepat fungsi mudah,baik_bagus_keren biasa_sederhana_sedang kunjung_cepat_lekas_segera tugas_fungsi_manfaat_guna sederhana_agar_gampang_mudah_ringan_lancar,1
gimana sih habis diupdate tidak bisa masuk sekali orang tidak bisa giamana sih ih edit developer kasih mohon baca email komplain ya situ cara perinci kenapa aplikasi tidak bisa pakai tidak ada efek soal size text hp aplikasi terus crash tolong baik orng jadi hambat aktivitas,gimana sih_si rugi_beres_khatam_habis_putus_kosong_hilang_selesai_lenyap diupdate tak_tidak_kagak bisa_sanggup_dapat masuk_kena_turun_sampai bangsa_orang_manusia tak_tidak_kagak bisa_sanggup_dapat giamana sih_si ih edit developer bagi_cinta_sayang_beri_kasih_prihatin harap_minta_mohon baca email komplain sungguh_betul_ya_iya_oke situ perinci operasi_aplikasi tak_tidak_kagak bisa_sanggup_dapat pakai tak_tidak_kagak buah_dampak_daya_efek_hasil_upaya_akibat size text hp operasi_aplikasi crash tolong_bantu ramah_ya_baik_normal_jujur_sehat_bagus_pulih_efektif_oke_enak orng hambat aktivitas,-1
sempurna,beres_sempurna_utama_selesai_lengkap,1
parahh aplikasi nya tidak bisa buka,parahh operasi_aplikasi nya tak_tidak_kagak bisa_sanggup_dapat buka_aktif,-1
oke bisa daftar punya akun makin keren aplikasi,oke_ya bisa_sanggup_dapat jadwal_register_daftar akun keren operasi_aplikasi,1
hp samsung pro aplikasi klik tuju scroll bawah tidak bisa soluai nya,hp samsung pro operasi_aplikasi klik tuju scroll tak_tidak_kagak bisa_sanggup_dapat soluai nya,-1
salah halaman login saya terima cek daftar tidak fungsi pergi pagr tolong selesai begitu orang tidak masuk id,meleset_cacat_salah_lupa halaman_laman login terima cek jadwal_register_daftar tak_tidak_kagak tugas_fungsi_manfaat_guna berangkat_pergi_hilang pagr tolong_bantu khatam_habis_putus_sempurna_stop_selesai_lalu_pecah_jadi_lengkap bangsa_orang_manusia tak_tidak_kagak masuk_kena_turun_sampai id,-1
bug benerin atuh woy bikin ehac di jenis kelamin gue naek pesawat drubah mobil dn klo gw bkin ulang tidak bisa next scan boarding pass manual udah ehacnya edit crash,bug benerin atuh woy bikin ehac tipe_kategori_bangsa_jenis_rupa_keluarga_kelas kelamin gue naek pesawat drubah mobil dn klo gw bkin kembali_ulang tak_tidak_kagak bisa_sanggup_dapat next scan boarding pass manual udah ehacnya edit crash,-1
aplikasi buruk,operasi_aplikasi rusak_buruk_kasar_busuk_negatif_jelek_cacat,-1
aplikasi bagus,operasi_aplikasi baik_bagus_keren,1
update izin lokasi baru pakai saat aplikasi guna input validasi telah mutakhir user interface makin user friendly gerat work,update izin posisi_lokasi_tempat aktual_mutakhir_baru_segar pakai operasi_aplikasi manfaat_guna_bagi_fungsi_untuk_buat input konfirmasi_verifikasi_validasi aktual_mutakhir_baru_segar user interface user friendly gerat work,1
hari jadi versi tampil baru check in lancar lihat klik menu nya cepat moga bagus ya belum checkin tidak terima checkout kaga bisa klik certificate nya main maklumsihtapikesal moga baru tidak susah check in yaaa terimakasih kasih,selesai_beres_jadi tipe_versi_cara_jenis tampil_maju aktual_mutakhir_baru_segar check in halus_bijak_lancar tentang_pantau_lihat_temu_kunjung klik menu nya kunjung_cepat_lekas_segera moga_agar baik_bagus_keren sungguh_betul_ya_iya_oke checkin tak_tidak_kagak terima checkout kaga bisa_sanggup_dapat klik certificate nya main maklumsihtapikesal moga_agar aktual_mutakhir_baru_segar tak_tidak_kagak berat_repot_sulit_payah_susah check in yaaa terimakasih bagi_cinta_sayang_beri_kasih_prihatin,1
aplikasi bodoh untuk mutakhir kemudian tidak buka tingkat instal ulang aplikasi tidak buka instal ulang masih tidak buka sekarang tidak bisa pergi mana hebat,operasi_aplikasi bodoh_tolol_idiot_bingung aktual_mutakhir_baru_segar tak_tidak_kagak buka_aktif tingkat instal kembali_ulang operasi_aplikasi tak_tidak_kagak buka_aktif instal kembali_ulang tak_tidak_kagak buka_aktif tak_tidak_kagak bisa_sanggup_dapat berangkat_pergi_hilang hebat_istimewa_kuat_seru,-1
kelahi,kelahi,0
sms verifikasi tidak ada isi data daftar vaksin udah coba kali kali minggu coba tidak ada sms verifikasi ya tidak dong tanda kan mati nunggu masukin noror verifikasi,sms tes_validasi_verifikasi_konfirmasi tak_tidak_kagak daya_isi data_statistik_informasi_fakta_bukti jadwal_register_daftar vaksin udah kalau_coba_jika waktu_saat_ketika_kali waktu_saat_ketika_kali minggu kalau_coba_jika tak_tidak_kagak sms tes_validasi_verifikasi_konfirmasi sungguh_betul_ya_iya_oke tak_tidak_kagak kode_logo_tanda_kualitas_alamat_bukti_sinyal lenyap_hilang_mati nunggu masukin noror tes_validasi_verifikasi_konfirmasi,-1
ui ux sucks,ui ux sucks,-1
update versi lebih ringan smooth,update tipe_versi_cara_jenis ringan_gampang_kecil_mudah smooth,1
tidak bisa masuk data anggota keluarga yg,tak_tidak_kagak bisa_sanggup_dapat masuk_kena_turun_sampai data_statistik_informasi_fakta_bukti tangan_badan_anggota_anak_tubuh keluarga,-1
salah tinggal,meleset_cacat_salah_lupa masih_tinggal,0
tidak unduh,tak_tidak_kagak unduh,-1
sudah vaksin tp status tulis vaksin wrn statusny mas merah mohon ya baik,vaksin tp nama_status_kualitas_situasi_posisi_kelas tulis_catat vaksin wrn statusny mas_uda merah harap_minta_mohon sungguh_betul_ya_iya_oke ramah_ya_baik_normal_jujur_sehat_bagus_pulih_efektif_oke_enak,-1
zona resiko hilang update balikin yg juga bagus dibandingin yg,wilayah_tempat_area_daerah_alam_zona resiko rugi_turun_habis_pergi_hilang_hapus_tanggal_pecah_mati_lenyap update balikin saja_lagi_lumayan_pun_juga baik_bagus_keren dibandingin,-1
alam buruk pindai sangat buruk lokasi tidak aktual tolong lebih baik,bumi_negeri_tempat_daerah_dunia_bidang_negara_alam_zona rusak_buruk_kasar_busuk_negatif_jelek_cacat pindai rusak_buruk_kasar_busuk_negatif_jelek_cacat posisi_lokasi_tempat tak_tidak_kagak aktual_mutakhir_positif_nyata_baru_segar tolong_bantu ramah_ya_baik_normal_jujur_sehat_bagus_pulih_efektif_oke_enak,-1
radius maksud deh scanning aja ribet,radius arah_maksud_arti_mau_makna_semangat_isi_niat deh scanning aja ribet,-1
susah harus buka ulang hendak log in log out tidak praktis,berat_repot_sulit_payah_susah buka_aktif kembali_ulang log in log out tak_tidak_kagak praktis_positif_efektif,-1
bagus,baik_bagus_keren,1
edit ehac tidak bisa padahal data yg masuk tp hasil data yg tampil salah,edit ehac tak_tidak_kagak bisa_sanggup_dapat data_statistik_informasi_fakta_bukti masuk_kena_turun_sampai tp hasil data_statistik_informasi_fakta_bukti tampil_maju meleset_cacat_salah_lupa,-1
tidak bisa masuk mentok pilih warga negara muncul term of use and privacy policy udah ceklis eh next nya bawah layar tidak bisa geser,tak_tidak_kagak bisa_sanggup_dapat masuk_kena_turun_sampai maksimal_mentok pilih anggota_anak_keluarga_warga_orang negeri_kampung_wilayah_daerah_dunia_negara_zona lahir_terbit_keluar_hidup_timbul_muncul nama_kata_istilah_kondisi_term of use and privacy policy udah ceklis eh next nya layar tak_tidak_kagak bisa_sanggup_dapat geser,-1
mulai baik tingkat,ramah_ya_baik_normal_jujur_sehat_bagus_pulih_efektif_oke_enak tingkat,1
bantu,angkat_bantu_beri_tolong_dukung,1
aplikasi bagus saya tidak bisa isi fto profil,operasi_aplikasi baik_bagus_keren tak_tidak_kagak bisa_sanggup_dapat daya_isi fto profil,0
bintang edit lima saat sudah update versi yg selasa pagi nov login kode otp mudah cepat saya terimakasih yg utama gps tidak aktif sudah aplikasi tutup good joob,bintang edit era_jam_saat update tipe_versi_cara_jenis selasa cepat_pagi nov login kode_tanda_etik otp sederhana_agar_gampang_mudah_ringan_lancar kunjung_cepat_lekas_segera terimakasih istimewa_utama_sempurna gps tak_tidak_kagak sibuk_dinamis_giat_rajin_aktif operasi_aplikasi tutup good joob,1
alhamdulillah bagus,alhamdulillah baik_bagus_keren,1
tidak info jadwal vaksin sih kesal soal,tak_tidak_kagak info jadwal_program vaksin sih_si kesal_jengkel_sebal,-1
bamyak fitur yg tidak fungsi,bamyak fitur tak_tidak_kagak tugas_fungsi_manfaat_guna,-1
tidak bisa cetak sertifikat vaksin ya di klik kali kali tombol nya tidak fungsi,tak_tidak_kagak bisa_sanggup_dapat cetak surat_sertifikat vaksin sungguh_betul_ya_iya_oke klik waktu_saat_ketika_kali waktu_saat_ketika_kali tombol nya tak_tidak_kagak tugas_fungsi_manfaat_guna,-1
tolong benah aplikasi tidak kerja error akibat sulit masuk lokasi saya kerja lokasi terimakasih kasih,tolong_bantu benah operasi_aplikasi tak_tidak_kagak operasi_fungsi_kerja_aktivitas error buah_dampak_efek_hasil_akibat berat_repot_sulit_payah_serius_susah masuk_kena_turun_sampai posisi_lokasi_tempat operasi_fungsi_kerja_aktivitas posisi_lokasi_tempat terimakasih bagi_cinta_sayang_beri_kasih_prihatin,-1
oke,oke_ya,1
harus aplikasi untuk deteksi gera henti data tidak andal tampil vs reality vaksinasi tidak tampil vaksinasi aplikasi serius app fpr serius lelucon,operasi_aplikasi deteksi gera jeda_henti data_statistik_informasi_fakta_bukti tak_tidak_kagak andal_patuh_bijak_jujur tampil_maju vs reality vaksinasi tak_tidak_kagak tampil_maju vaksinasi operasi_aplikasi serius app fpr serius lelucon,-1
muncul no internet connection sertifikat vaksin tidak muncul sudah vaksinasi yg,lahir_terbit_keluar_hidup_timbul_muncul no internet connection surat_sertifikat vaksin tak_tidak_kagak lahir_terbit_keluar_hidup_timbul_muncul vaksinasi,-1
error jamaah bandara payah aplikasi,error jamaah bandara berat_parah_sulit_payah_serius_lelah_lambat_susah_sangat_keras operasi_aplikasi,-1
stelah tuju and terms ceklis apa tidak tombol interaktif,stelah tuju and terms ceklis tak_tidak_kagak tombol interaktif,-1
a mal samil,a dana_mal samil,0
susah,berat_repot_sulit_payah_susah,-1
error larang pasuk gedung negatif baik aplikasi,error larang pasuk gedung_kantor negatif ramah_ya_baik_normal_jujur_sehat_bagus_pulih_efektif_oke_enak operasi_aplikasi,-1
tidak bisa lihat sertifikat vaksin pedulilindungi klik check isi data tapi henti step tidak bisa ke step edit replay saya tidak temu paspor digital di halaman utama aplikasi peduli lindung saya,tak_tidak_kagak bisa_sanggup_dapat tentang_pantau_lihat_temu_kunjung surat_sertifikat vaksin pedulilindungi klik check daya_isi data_statistik_informasi_fakta_bukti jeda_henti step tak_tidak_kagak bisa_sanggup_dapat step edit replay tak_tidak_kagak temu paspor digital halaman_laman istimewa_utama_sempurna operasi_aplikasi tahu_peduli lindung,-1
versi tidak jalan beberapa hp androif,tipe_versi_cara_jenis tak_tidak_kagak jalan hp androif,-1
tidak bisa download apps,tak_tidak_kagak bisa_sanggup_dapat download apps,-1
semenjak pelindungdiri tidak tau handphone suka restart proses buka aplikasi home lama tuju aplikasi baik dapat paham,semenjak_sejak_dari pelindungdiri tak_tidak_kagak tau handphone mau_puas_suka restart cara_mode_jalan_proses_operasi_sistem buka_aktif operasi_aplikasi home kedaluwarsa_periode_tempo_lama_lambat_lelet tuju operasi_aplikasi ramah_ya_baik_normal_jujur_sehat_bagus_pulih_efektif_oke_enak kompeten_paham_sadar_pintar_maklum,-1
lokasi deteksi laku hal on off opsi kembang tidak guna aplikasi pikir integrasi basis data sktt nik asing milik telah pada tanggal november hanya milik lokal asing telepon ketika logoff tidak bisa masuk tokopedia gopay lebih baik dapat andal saya kirim email balik,posisi_lokasi_tempat deteksi laku on off alternatif_opsi kembang tak_tidak_kagak manfaat_guna_bagi_fungsi_untuk_buat operasi_aplikasi akal_pikir integrasi dasar_alas_basis data_statistik_informasi_fakta_bukti sktt nik asing_lain_aneh_luar_jauh milik puas_lumayan_di_sedang_pada tanggal_bulan_hari november milik dalam_lokal asing_lain_aneh_luar_jauh telepon logoff tak_tidak_kagak bisa_sanggup_dapat masuk_kena_turun_sampai tokopedia gopay ramah_ya_baik_normal_jujur_sehat_bagus_pulih_efektif_oke_enak andal_patuh_bijak_jujur kirim email,-1
app pedulilindungi jadi praktis,app pedulilindungi praktis_positif_efektif,1
perintah manasi aplikasi,tugas_order_perintah manasi operasi_aplikasi,0
telah update sertifikat vaksin ilang tidak pdhal lg butuh,update surat_sertifikat vaksin ilang tak_tidak_kagak pdhal lg butuh,-1
repot undang virus harus scan qr code lagi aplikasi d bbrp hp tidak bisa,sibuk_repot undang virus scan qr code operasi_aplikasi d bbrp hp tak_tidak_kagak bisa_sanggup_dapat,-1
update ui jelek,update ui jelek,-1
dah daftar vaksin app dr tp tidak pemberitahuan dan,dah jadwal_register_daftar vaksin app dr tp tak_tidak_kagak pemberitahuan,-1
tidak lanjut tuju,tak_tidak_kagak tuju,-1
aplikasi noraaakk hasil positif tidak ubah pcr dgn hasil negatif susah orang aja,operasi_aplikasi noraaakk hasil aktual_tentu_sehat_percaya_praktis_positif_efektif_nyata_jelas tak_tidak_kagak pindai_ubah_ganti_pindah pcr dgn hasil negatif berat_repot_sulit_payah_susah bangsa_orang_manusia aja,-1
habis vaksin tapi serifikat tidak muncul aplikasi udah masukin data ulang kali aja,rugi_beres_khatam_habis_putus_kosong_hilang_selesai_lenyap vaksin serifikat tak_tidak_kagak lahir_terbit_keluar_hidup_timbul_muncul operasi_aplikasi udah masukin data_statistik_informasi_fakta_bukti kembali_ulang waktu_saat_ketika_kali aja,-1
aplikasi tolol kadang tidak tidak bisa orang aja,operasi_aplikasi bodoh_tolol kadang_terkadang tak_tidak_kagak tak_tidak_kagak bisa_sanggup_dapat bangsa_orang_manusia aja,-1
aplikasi jelek diupdate malah jd tidak bisa login scroll di privasi guna login tidak bisa kalo masuk wajib scan app tidak paham sih developer app niat tidak ngurus app nya krn banyak bug yg hambat app penting wajib moga lebih baik tidak kendala lg lain,operasi_aplikasi jelek diupdate jd tak_tidak_kagak bisa_sanggup_dapat login scroll privasi manfaat_guna_bagi_fungsi_untuk_buat login tak_tidak_kagak bisa_sanggup_dapat kalo masuk_kena_turun_sampai tentu_wajib_mesti_tetap_harus_perlu scan app tak_tidak_kagak kompeten_paham_sadar_pintar_maklum sih_si developer app maksud_janji_niat tak_tidak_kagak ngurus app nya besar_banyak_penuh bug hambat app tentu_wajib_mesti_tetap_harus_perlu moga_agar ramah_ya_baik_normal_jujur_sehat_bagus_pulih_efektif_oke_enak tak_tidak_kagak kendala lg beda_asing_lain,-1
aplikasi buruk tolong baik aplikasi karena tidak lihat sertifikat vaksin,operasi_aplikasi rusak_buruk_kasar_busuk_negatif_jelek_cacat tolong_bantu ramah_ya_baik_normal_jujur_sehat_bagus_pulih_efektif_oke_enak operasi_aplikasi tak_tidak_kagak tentang_pantau_lihat_temu_kunjung surat_sertifikat vaksin,-1
tidak bisa lihat sertifikat vaksin klik tombol sertifikat vaksin kembali halaman periksa data,tak_tidak_kagak bisa_sanggup_dapat tentang_pantau_lihat_temu_kunjung surat_sertifikat vaksin klik tombol surat_sertifikat vaksin halaman_laman cek_periksa_kontrol data_statistik_informasi_fakta_bukti,-1
semua check in nya gagal check in,check in nya gagal_rusak_kalah check in,-1
ba ji ngan lahhhh gua paksa donlot ginian sampahhh jan cukkk atur sial vaksin tidak,ba ji ngan lahhhh gua paksa donlot ginian sampahhh jan cukkk atur sial_sebal vaksin tak_tidak_kagak,-1
malah keluarin aplikasi suruh login ulang suruh ngisi rumput kotak tuju malah tidak bisa di scroll bwah lanjut ini,keluarin operasi_aplikasi suruh_perintah login kembali_ulang suruh_perintah ngisi rumput kotak tuju tak_tidak_kagak bisa_sanggup_dapat scroll bwah ini,-1
pilih tanggal lahir tidak praktis khusus pilih,pilih tanggal_bulan_hari lahir_keluar_timbul_jadi_muncul tak_tidak_kagak praktis_positif_efektif istimewa_utama_khusus pilih,-1
sertifikat vaksin sudah minggu tidak di web sdh,surat_sertifikat vaksin minggu tak_tidak_kagak web sdh,-1
update yg update performa tidak bisa login product jadi paksa kerja tri yg bener donk bikin aplikasi wajib harus dipake rakyat pake uang rakyat kualitas jelek tri kalo tidak bikin aplikasi bagus bayar swasta aja macam yg bukti,update update performa tak_tidak_kagak bisa_sanggup_dapat login product paksa operasi_fungsi_kerja_aktivitas tri bener donk bikin operasi_aplikasi tentu_wajib_mesti_tetap_harus_perlu dipake orang_rakyat pake uang orang_rakyat status_kualitas_jenis_mutu_tingkat_kelas jelek tri kalo tak_tidak_kagak bikin operasi_aplikasi baik_bagus_keren bayar swasta aja yang data_tanda_informasi_fakta_bukti,-1
ok versi sudah tidak akses gps,ok tipe_versi_cara_jenis tak_tidak_kagak akses gps,1
ok kdg applikasi nyangkut scab lokasi,ok kdg applikasi nyangkut scab posisi_lokasi_tempat,0
mks kak,mks kak,1
menginstalnya tiap kali menginstalnya salah tidak fungsi normal dan sekarang tidak dapat menginstalnya terus tunda saya tidak percaya aplikasi sampah jadi referensi selamat publik,menginstalnya waktu_saat_ketika_kali menginstalnya meleset_cacat_salah_lupa tak_tidak_kagak tugas_fungsi_manfaat_guna wajar_normal_biasa_tipikal_standar sekarang tak_tidak_kagak menginstalnya tunda tak_tidak_kagak percaya operasi_aplikasi sampah referensi aman_selamat publik_masyarakat_rakyat,-1
syarat guna bijak tuju kotak tuju centang layar tidak bisa dinaikkin proses mohon saran updatenya baru,term_syarat_kondisi manfaat_guna_bagi_fungsi_untuk_buat pintar_bijak tuju kotak tuju centang layar tak_tidak_kagak bisa_sanggup_dapat dinaikkin cara_mode_jalan_proses_operasi_sistem harap_minta_mohon komentar_saran updatenya aktual_mutakhir_baru_segar,-1
informasi atur jalan aplikasi update update tulis september atur aspek rasio tampil antarmuka mulai guna aplikasi tidak dinamis beberapa guna hp sulit login tidak bisa tekan tombol bawah,fakta_berita_informasi_data atur jalan operasi_aplikasi update update tulis_catat september atur arah_aspek rasio tampil_maju antarmuka manfaat_guna_bagi_fungsi_untuk_buat operasi_aplikasi tak_tidak_kagak hidup_dinamis_giat_rajin_aktif manfaat_guna_bagi_fungsi_untuk_buat hp berat_repot_sulit_payah_serius_susah login tak_tidak_kagak bisa_sanggup_dapat tekan tombol,-1
serifikat vaksin lama vaksin ada abis vaksin sertifikat prtama ilang sertifikat tidak dpt dpt respon kasi tau liat sertifikat apa ngasi tau saya udh tau biar liat pinter gausah suruh telpon udh tidak angkat,serifikat vaksin kedaluwarsa_periode_tempo_lama_lambat_lelet vaksin abis vaksin surat_sertifikat prtama ilang surat_sertifikat tak_tidak_kagak dpt dpt respon kasi tau liat surat_sertifikat ngasi tau udh tau biar liat pinter gausah suruh_perintah telpon udh tak_tidak_kagak ambil_angkut_angkat_bawa,-1
mau masuk stuck syarat guna repot,masuk_kena_turun_sampai stuck term_syarat_kondisi manfaat_guna_bagi_fungsi_untuk_buat sibuk_repot,-1
tidak uda d checklist syarat ny tau tidak bisa d akhirny bisa donlod ulang,tak_tidak_kagak uda d checklist term_syarat_kondisi ny tau tak_tidak_kagak bisa_sanggup_dapat d akhirny bisa_sanggup_dapat donlod kembali_ulang,-1
sampah buka sertifikat,sampah buka_aktif surat_sertifikat,-1
tidak bisa login sdh bisa login,tak_tidak_kagak bisa_sanggup_dapat login sdh bisa_sanggup_dapat login,-1
tidak bisa buka aplikasi,tak_tidak_kagak bisa_sanggup_dapat buka_aktif operasi_aplikasi,-1
t gulir tuju tombol,t turun_gulir tuju tombol,-1
lokasi mulu,posisi_lokasi_tempat mulu,-1
kerja sangat baik tidak masalah sekali operasi aplikasi keren aplikasi,operasi_fungsi_kerja_aktivitas ramah_ya_baik_normal_jujur_sehat_bagus_pulih_efektif_oke_enak tak_tidak_kagak sangat_sekali aplikasi_proses_operasi_kerja_aktivitas operasi_aplikasi keren operasi_aplikasi,1
terkadang acau,terkadang acau,-1
aplikasi buruk pernah,operasi_aplikasi rusak_buruk_kasar_busuk_negatif_jelek_cacat,-1
cepat mudah guna simpel tidak makan memori,kunjung_cepat_lekas_segera sederhana_agar_gampang_mudah_ringan_lancar manfaat_guna_bagi_fungsi_untuk_buat simpel_gampang_sederhana_mudah tak_tidak_kagak makan sejarah_memori,1
aplikasi apa yg vaksin luar negeri guna passport mau data pedulilindungin yg nongol suruh masuk nik ada pilih nik passport pikir rakyat indonesia di dal negeri baik itu aplikasi nya warga indonesia yg luar negeri bisa transfer data vaksin guna passport suruh masuk nik gimana yg vaksin guna passport masak kita harus vaksin ulang guna nik gitu,operasi_aplikasi vaksin asing_luar daerah_bumi_negeri_kota manfaat_guna_bagi_fungsi_untuk_buat passport data_statistik_informasi_fakta_bukti pedulilindungin nongol suruh_perintah masuk_kena_turun_sampai nik pilih nik passport akal_pikir orang_rakyat indonesia dal daerah_bumi_negeri_kota ramah_ya_baik_normal_jujur_sehat_bagus_pulih_efektif_oke_enak operasi_aplikasi nya anggota_anak_keluarga_warga_orang indonesia asing_luar daerah_bumi_negeri_kota bisa_sanggup_dapat transfer data_statistik_informasi_fakta_bukti vaksin manfaat_guna_bagi_fungsi_untuk_buat passport suruh_perintah masuk_kena_turun_sampai nik gimana yang vaksin manfaat_guna_bagi_fungsi_untuk_buat passport matang_magang_masak_masa wajar_wajib_mesti_harus_perlu vaksin kembali_ulang manfaat_guna_bagi_fungsi_untuk_buat nik gitu,-1
tidak guna,tak_tidak_kagak manfaat_guna_bagi_fungsi_untuk_buat,-1
travel regulationnya tolong update min tampil yg sederhana bagus,travel regulationnya tolong_bantu update min tampil_maju biasa_sederhana_sedang baik_bagus_keren,1
aplikasi nya tidak bisa scroll,operasi_aplikasi nya tak_tidak_kagak bisa_sanggup_dapat scroll,-1
sertifikat vaksin tidak temu krn nik salah vaksin bisa access sertifikat nik mah nomor hp betul aktif hari telah vaksin trnyata data salah aneh telp cs sibuk tidak bisa kirim whatsapp adu jg tidak jawab bulan sampai skarang tolong serius tanggap dan tunggu solusi terimakasih,surat_sertifikat vaksin tak_tidak_kagak temu nik meleset_cacat_salah_lupa vaksin bisa_sanggup_dapat access surat_sertifikat nik mah nomor_angka hp sibuk_dinamis_giat_rajin_aktif sudah_telah vaksin trnyata data_statistik_informasi_fakta_bukti meleset_cacat_salah_lupa asing_aneh_absurd telp cs sibuk_giat_repot_aktif tak_tidak_kagak bisa_sanggup_dapat kirim whatsapp adu_tabrak jg tak_tidak_kagak bulan skarang tolong_bantu serius responsif_tanggap_peka_paham tunggu solusi terimakasih,-1
guna telah tuju syarat tombol login sign up tidak terimakasih kasih,manfaat_guna_bagi_fungsi_untuk_buat tuju term_syarat_kondisi tombol login sign up tak_tidak_kagak terimakasih bagi_cinta_sayang_beri_kasih_prihatin,-1
hasil test covid aplikasi hilang jadi bagi sy waktu chekin maskapai untung sy screen shoot hasil testnya,hasil test covid operasi_aplikasi rugi_turun_habis_pergi_hilang_hapus_tanggal_pecah_mati_lenyap kalau_guna_bagi_untuk_pecah_potong_oleh_beri_kasih_akan_buat_pada sy chekin maskapai untung_manfaat_guna sy screen shoot hasil testnya,-1
terupdate otorisasi update tampil ubah total makin susah scan qr code nya fail terus scan qr semenjak update,terupdate otorisasi update tampil_maju pindai_ubah_ganti_pindah total berat_repot_sulit_payah_susah scan qr code nya fail scan qr semenjak_sejak_dari update,-1
tidak bisa hp layar inci suruh klik i tuju tuju layar tidak bisa geser atas tidak bisa klik bad design,tak_tidak_kagak bisa_sanggup_dapat hp layar inci suruh_perintah klik i tuju tuju layar tak_tidak_kagak bisa_sanggup_dapat geser tak_tidak_kagak bisa_sanggup_dapat klik bad design,-1
accept button nya manaaaa pilih warga negara tombol nya tidak ngawur regulasi yg susah kerja org,accept button nya manaaaa pilih anggota_anak_keluarga_warga_orang negeri_kampung_wilayah_daerah_dunia_negara_zona tombol nya tak_tidak_kagak ngawur regulasi berat_repot_sulit_payah_susah operasi_fungsi_kerja_aktivitas org,-1
